"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"115",115,"comp",52,50,31,22.5806451612903,16,20,18,16,32,27,1,3,23,"1",4.13244388053812,0.409158258754565,0.493470042377709,0.829145082005585,0.0359312731496799,-4.79599276692633
"116",116,"comp",59,58,43,2.32558139534884,10,7,10,8,18,30,1,0,8,"3",4.12102954031496,0.39501676210342,0.570741093327618,0.692112004412256,1.77883140833946,-5.04598437879618
"117",117,"comp",58,58,25,20,24,27,23,21,38,32,28,24,34,"4",4.09345194095217,0.242171661037432,0.466548923431769,0.519070238671012,3.63926513657061,-1.04165436909389
"118",118,"comp",48,50,29,20.6896551724138,7,7,10,8,13,25,8,0,23,"2",4.27584667326668,0.603512142714814,0.50812015797117,1.18773509227527,2.86563214980992,2.11764628907091
"119",119,"comp",64,62,38,92.1052631578947,17,18,23,14,29,27,0,1,22,"1",4.17906355051545,0.58042776245902,0.474895439776452,1.22222222797558,1.61726100313559,-6.39651121871415
"120",120,"comp",53,48,60,65,7,7,7,11,12,21,0,0,6,"3",4.8558758087818,0.377694836450546,0.513079592501511,0.736133032711555,1.00742388268101,-0.319178352852312
"121",121,"comp",53,54,43,2.32558139534884,8,13,14,10,21,36,3,1,10,"1",4.44119987020712,0.530096533074704,0.64794159986891,0.81812393768505,4.23587376894458,-7.98406141753285
"122",122,"comp",58,58,59,5.08474576271187,11,11,12,10,23,24,0,4,14,"1",4.62636402363323,0.480251477557337,0.556185265659791,0.863473930737134,5.20428567580266,-8.86564176737432
"123",123,"comp",52,53,37,16.2162162162162,10,21,12,8,15,20,3,7,10,"1",4.1768996403277,0.426487188692752,0.505254995950363,0.844102863130621,4.39994740354609e-07,-5.38243930948962
"124",124,"comp",59,59,32,0,13,9,14,8,27,16,1,2,15,"1",4.26248747452903,0.585913300436498,0.723942197105087,0.809337130477348,2.79091380345796,-6.95303974123184
"125",125,"comp",56,55,21,38.0952380952381,9,17,13,8,21,28,0,0,5,"1",4.13382052150904,0.725395518953162,0.73076923000474,0.992646500658569,1.63087446441966,-5.89745520448705
"126",126,"comp",55,58,42,16.6666666666667,16,16,16,14,23,25,15,1,37,"4",4.0378741710373,0.403291158421391,0.492911414821992,0.818181819885494,0.41412817257246,-4.36056667894834
"127",127,"comp",55,55,26,15.3846153846154,7,7,8,9,26,21,0,0,14,"3",4.20671841721959,0.575118949213309,0.655614628437498,0.877221044600497,5.09680912295839,-4.01648424915714
"128",128,"comp",50,50,60,90,14,13,12,13,28,21,1,5,16,"1",4.19826846832525,0.743992044870366,0.646641270607071,1.15054834680116,2.7196081831489,-6.72723023584826
"129",129,"comp",57,56,24,66.6666666666667,14,14,14,16,22,22,0,0,23,"1",3.92998588049702,0.585604896735087,0.409090907675164,1.43147864141748,0.796624769787416,-2.59381236275475
"130",130,"comp",61,61,23,26.0869565217391,8,8,7,7,14,20,0,0,5,"3",3.9625309308379,0.368798074523425,0.451976731469246,0.815966948839532,0.626173449224422,-3.4164467300546
"131",131,"comp",53,53,20,10,14,14,14,16,18,23,0,0,24,"1",4.6952058711458,0.520867551996079,0.587859885056994,0.886040305243111,6.79097115933874,-7.01907913945369
"132",132,"comp",58,56,40,22.5,9,18,10,9,30,29,0,4,12,"1",4.11574635540383,0.381460270520293,0.442669107949264,0.861727786444076,1.32688470075237,-5.56073652063588
