"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma","alpha","beta"
"533",533,"control",60,60,38,5.26315789473684,18,21,14,20,29,28,6,9,32,"4",4.73036378134757,1.40782678599173,1.08758057254204,0.32024621344969,5.04291938954159,-8.90731268001763
"534",534,"control",61,60,46,4.34782608695652,24,16,13,13,12,29,7,10,26,"4",4.46131701708009,1.32165426999942,1.04063127167614,0.28102299832328,2.73225385475489,-9.06673325545406
"535",535,"control",55,56,33,0,17,18,18,8,30,21,2,1,36,"1",4.14865586769971,1.48061437801264,0.552903327154293,0.927711050858347,0.146239388045797,-9.03411239054355
"536",536,"control",53,54,23,13.0434782608696,7,16,16,8,18,23,5,16,20,"2",3.66837266729931,0.404228265220062,0.111022807876157,0.293205457343905,0.500153865255229,-3.57868045477724
"537",537,"control",50,50,33,18.1818181818182,24,21,21,24,30,28,15,15,40,"4",3.72157947790605,1.30316812264094,0.98437476813814,0.3187933545028,0.100173353253206,-3.32614223449416
"538",538,"control",60,59,60,10,20,13,15,11,35,24,32,8,17,"4",3.84933482216409,1.20868547713171,0.823762475379463,0.384923001752247,3.00903247620052,-4.89434848848041
"539",539,"control",59,59,37,2.7027027027027,7,10,10,8,13,18,0,1,11,"3",4.77440764695382,1.31010687320547,1.01778446950149,0.29232240370398,5.19752369082445,-8.91781652260315
"540",540,"control",56,52,40,5,15,23,20,8,32,23,6,22,39,"4",3.85675073262411,0.43705745200508,0.0680906225551692,0.368966829449911,0.235178477075339,-7.57342298023567
"541",541,"control",61,61,36,0,13,12,12,8,25,26,2,6,19,"1",4.32822084635459,1.21886308994207,0.402662434852995,0.816200655089075,2.17572526325581,-9.10944650578281
"542",542,"control",55,55,60,1.66666666666667,9,9,11,8,15,21,0,0,11,"3",4.61426153769031,1.39717698790324,1.01129092014435,0.38588606775889,4.89369558676823,-8.48086568172709
"543",543,"control",57,54,42,2.38095238095238,13,10,15,8,27,21,4,11,17,"2",4.22324845993956,0.922398112892414,0.611834617864348,0.310563495028066,1.23261257103819,-8.30995531595299
"544",544,"control",57,56,38,0,17,9,14,9,27,21,4,18,33,"2",4.12467932219325,1.36812939630628,0.927820171078825,0.440309225227455,1.47979820142367,-8.20724676330831
"545",545,"control",56,57,44,6.81818181818182,24,18,17,16,37,30,23,20,37,"4",3.82015868811174,1.36075683795905,0.991399041626492,0.369357796332558,0.620037134032189,-5.97269392513592
"546",546,"control",53,53,38,7.89473684210526,7,8,7,8,16,26,1,0,7,"3",4.14583793795896,0.836865478421796,0.607163990214686,0.22970148820711,1.16377964581314,-7.71077182557748
"547",547,"control",60,59,38,15.7894736842105,30,24,24,19,41,32,1,5,32,"4",4.05622051929149,1.55200361314979,1.23750753299604,0.31449608015375,4.79328486774592,-4.69576759536325
"548",548,"control",45,46,31,0,8,13,14,8,13,21,26,26,30,"2",4.28983101120328,1.39140287186502,0.607163989356615,0.784238882508405,2.22562022826209,-8.94147791771525
"549",549,"control",55,55,38,5.26315789473684,17,18,23,15,33,41,2,4,38,"4",4.24699791741671,0.252547393819883,6.50845950594266e-08,0.252547328735288,3.49278148988289e-05,-8.02435002214953
